token,symbol,expiry,freeze_qty,is_cas_enabled
46941,NIFTY01SEP2622900CE,01SEP2026,1801,False
46943,NIFTY01SEP2622950CE,01SEP2026,1801,False
46966,NIFTY01SEP2623500PE,01SEP2026,1801,False
46975,NIFTY01SEP2623750CE,01SEP2026,1801,False
46976,NIFTY01SEP2623750PE,01SEP2026,1801,False
46977,NIFTY01SEP2623800CE,01SEP2026,1801,False
46984,NIFTY01SEP2623950PE,01SEP2026,1801,False
46993,NIFTY01SEP2624200CE,01SEP2026,1801,False
47009,NIFTY01SEP2624600CE,01SEP2026,1801,False
47012,NIFTY01SEP2624650PE,01SEP2026,1801,False
47016,NIFTY01SEP2624750PE,01SEP2026,1801,False
47019,NIFTY01SEP2624850CE,01SEP2026,1801,False
47022,NIFTY01SEP2624900PE,01SEP2026,1801,False
47031,NIFTY01SEP2625150CE,01SEP2026,1801,False
47033,NIFTY01SEP2625200CE,01SEP2026,1801,False
47037,NIFTY01SEP2625300CE,01SEP2026,1801,False
47045,NIFTY01SEP2625500CE,01SEP2026,1801,False
47053,NIFTY01SEP2625700CE,01SEP2026,1801,False
47082,NIFTY01SEP2626400PE,01SEP2026,1801,False
47083,NIFTY01SEP2626450CE,01SEP2026,1801,False
47089,NIFTY01SEP2626600CE,01SEP2026,1801,False
47102,NIFTY01SEP2626800CE,01SEP2026,1801,False
47104,NIFTY01SEP2626850CE,01SEP2026,1801,False
47113,NIFTY01SEP2627050PE,01SEP2026,1801,False
47118,NIFTY01SEP2627150PE,01SEP2026,1801,False
47119,NIFTY01SEP2627200CE,01SEP2026,1801,False
47120,NIFTY01SEP2627200PE,01SEP2026,1801,False
50978,NIFTY29DEC2627000CE,29DEC2026,1801,False
51329,NIFTY27OCT2622450PE,27OCT2026,1801,False
51354,NIFTY27OCT2623050CE,27OCT2026,1801,False
51364,NIFTY27OCT2623300CE,27OCT2026,1801,False
51370,NIFTY27OCT2623450CE,27OCT2026,1801,False
51371,NIFTY27OCT2623450PE,27OCT2026,1801,False
51386,NIFTY27OCT2623850CE,27OCT2026,1801,False
51405,NIFTY27OCT2624250PE,27OCT2026,1801,False
51419,NIFTY27OCT2624500PE,27OCT2026,1801,False
51423,NIFTY27OCT2624600PE,27OCT2026,1801,False
51432,NIFTY27OCT2624850CE,27OCT2026,1801,False
51441,NIFTY27OCT2625000PE,27OCT2026,1801,False
51454,NIFTY27OCT2625350CE,27OCT2026,1801,False
51456,NIFTY27OCT2625400CE,27OCT2026,1801,False
51468,NIFTY27OCT2625500CE,27OCT2026,1801,False
51495,NIFTY27OCT2626100PE,27OCT2026,1801,False
51516,NIFTY27OCT2626650CE,27OCT2026,1801,False
51520,NIFTY27OCT2626750CE,27OCT2026,1801,False
51523,NIFTY27OCT2626800PE,27OCT2026,1801,False
51537,NIFTY27OCT2627100PE,27OCT2026,1801,False
37810,NIFTY29DEC2623000PE,29DEC2026,1801,False
38158,NIFTY29DEC2629000CE,29DEC2026,1801,False
53595,NIFTY28DEC2715000PE,28DEC2027,1801,False
53606,NIFTY28DEC2719000PE,28DEC2027,1801,False
53613,NIFTY28DEC2721000CE,28DEC2027,1801,False
53632,NIFTY28DEC2727000PE,28DEC2027,1801,False
40903,NIFTY11AUG2621900CE,11AUG2026,1801,False
40937,NIFTY11AUG2622700CE,11AUG2026,1801,False
40944,NIFTY11AUG2622850PE,11AUG2026,1801,False
40960,NIFTY11AUG2623250PE,11AUG2026,1801,False
40963,NIFTY11AUG2623350CE,11AUG2026,1801,False
40967,NIFTY11AUG2623450CE,11AUG2026,1801,False
40977,NIFTY11AUG2623700CE,11AUG2026,1801,False
40997,NIFTY11AUG2624150CE,11AUG2026,1801,False
41001,NIFTY11AUG2624250CE,11AUG2026,1801,False
41019,NIFTY11AUG2624650PE,11AUG2026,1801,False
41033,NIFTY11AUG2624950CE,11AUG2026,1801,False
41036,NIFTY11AUG2624950PE,11AUG2026,1801,False
41052,NIFTY11AUG2625350PE,11AUG2026,1801,False
41059,NIFTY11AUG2625550CE,11AUG2026,1801,False
41061,NIFTY11AUG2625600CE,11AUG2026,1801,False
41062,NIFTY11AUG2625600PE,11AUG2026,1801,False
41063,NIFTY11AUG2625650CE,11AUG2026,1801,False
41113,NIFTY11AUG2626550CE,11AUG2026,1801,False
41120,NIFTY11AUG2626700PE,11AUG2026,1801,False
41131,NIFTY11AUG2627000CE,11AUG2026,1801,False
44993,NIFTY18AUG2622200CE,18AUG2026,1801,False
44999,NIFTY18AUG2622250CE,18AUG2026,1801,False
45038,NIFTY18AUG2622950PE,18AUG2026,1801,False
45060,NIFTY18AUG2623450CE,18AUG2026,1801,False
45061,NIFTY18AUG2623450PE,18AUG2026,1801,False
45097,NIFTY18AUG2624150PE,18AUG2026,1801,False
45103,NIFTY18AUG2624300PE,18AUG2026,1801,False
45162,NIFTY18AUG2625300CE,18AUG2026,1801,False
45165,NIFTY18AUG2625350PE,18AUG2026,1801,False
55292,NIFTY29SEP2634500CE,29SEP2026,1801,False
55330,NIFTY29DEC2628500CE,29DEC2026,1801,False
45166,NIFTY18AUG2625400CE,18AUG2026,1801,False
45172,NIFTY18AUG2625550CE,18AUG2026,1801,False
45180,NIFTY18AUG2625600CE,18AUG2026,1801,False
45181,NIFTY18AUG2625600PE,18AUG2026,1801,False
55336,NIFTY29DEC2634500CE,29DEC2026,1801,False
55372,NIFTY29JUN2719500CE,29JUN2027,1801,False
55378,NIFTY29JUN2728500CE,29JUN2027,1801,False
55424,NIFTY28DEC2722500CE,28DEC2027,1801,False
45184,NIFTY18AUG2625650CE,18AUG2026,1801,False
45185,NIFTY18AUG2625650PE,18AUG2026,1801,False
45199,NIFTY18AUG2625950PE,18AUG2026,1801,False
45211,NIFTY18AUG2626200PE,18AUG2026,1801,False
